T [GEV**2],D(SIG)/DT [MUB/GEV**2],error +,error -,sys +,sys -
-0.2,1.26,0.04,-0.04,13.0%,-13.0%
-0.26,0.95,0.03,-0.03,13.0%,-13.0%
-0.32,0.58,0.03,-0.03,13.0%,-13.0%
-0.39,0.39,0.02,-0.02,13.0%,-13.0%
-0.46,0.26,0.01,-0.01,13.0%,-13.0%
-0.54,0.21,0.01,-0.01,13.0%,-13.0%
-0.62,0.22,0.01,-0.01,13.0%,-13.0%
-0.71,0.21,0.01,-0.01,13.0%,-13.0%
-0.8,0.22,0.02,-0.02,13.0%,-13.0%
-0.89,0.25,0.02,-0.02,13.0%,-13.0%
-0.98,0.26,0.02,-0.02,13.0%,-13.0%
-1.07,0.22,0.03,-0.03,13.0%,-13.0%
-1.17,0.34,0.05,-0.05,13.0%,-13.0%

