-T [GEV**2],COS(THETA),D(SIG)/DT [NB/GEV**2],error +,error -,sys +,sys -
1.19,0.644,184.2,7.9,-7.9,7.0%,-7.0%
1.58,0.529,102.9,3.3,-3.3,7.0%,-7.0%
1.89,0.435,40.1,2.1,-2.1,7.0%,-7.0%
2.24,0.329,15.9,2.0,-2.0,7.0%,-7.0%
2.49,0.255,4.93,0.71,-0.71,7.0%,-7.0%
2.64,0.211,1.83,0.62,-0.62,7.0%,-7.0%
2.88,0.14,4.62,0.51,-0.51,7.0%,-7.0%
3.07,0.084,3.87,0.41,-0.41,7.0%,-7.0%
3.26,0.025,5.97,0.43,-0.43,7.0%,-7.0%
3.53,-0.055,6.78,0.77,-0.77,7.0%,-7.0%
4.03,-0.203,6.57,0.48,-0.48,7.0%,-7.0%
4.54,-0.356,4.25,1.04,-1.04,7.0%,-7.0%
5.05,-0.508,8.06,1.63,-1.63,7.0%,-7.0%
5.54,-0.654,22.5,2.0,-2.0,7.0%,-7.0%
5.98,-0.785,24.1,2.0,-2.0,7.0%,-7.0%

